name,distance,latitude,longitude,address,telephone,rating,review_counts,closed
Burrito Bandidos,286.2490649948758,43.6665611,-79.3164215,"['1614 Queen Street E', 'Toronto, ON M4L 1G4', 'Canada']",+1 416-691-8080,3.5,58,False
Gio Rana's Really Really Nice Restaurant,881.124117228234,43.663335336163,-79.3304189287309,"['1220 Queen Street East', 'Toronto, ON M4M 1L7', 'Canada']",+1 416-469-5225,4.0,231,False
Maha's,1005.190034713692,43.67167,-79.32853,"['226 Greenwood Avenue', 'Toronto, ON M4L 2R2', 'Canada']",+1 416-462-2703,4.0,598,False
Mattachioni,815.1485644834155,43.67264,-79.31973,"['1501 Gerrard St E', 'Toronto, ON M4L 2A4', 'Canada']",+1 416-466-1111,5.0,4,False
British Style Fish & Chips,426.62747686060635,43.66861,-79.31723,"['73 Coxwell Avenue', 'Toronto, ON M4L 3B1', 'Canada']",+1 416-698-7778,4.0,53,False
Nodo Leslieville,983.1152024508168,43.66311,-79.33162,"['1192 Queen Street East', 'Toronto, ON M4M 1L6', 'Canada']",+1 416-792-4196,4.0,37,False
Mazadar,259.62754902185213,43.66649478855605,-79.31704882532358,"['1606 Queen St E', 'Toronto, ON M4L 3A7', 'Canada']",+1 416-463-1111,0.0,0,False
Agio,646.4712110381079,43.67599,-79.45066,"['1351 St Clair Avenue W', 'Toronto, ON M6E 1C5', 'Canada']",+1 647-348-4814,4.5,191,False
Love Chix,292.2904736197312,43.6696641,-79.4486514,"['33 Powerhouse Street', 'Toronto, ON M6H 4K7', 'Canada']",+1 416-546-0626,4.0,44,False
North Of Brooklyn,597.6101584467683,43.669227255581696,-79.43916335090452,"['229 Geary Avenue', 'Toronto, ON M6H 2C1', 'Canada']",+1 647-929-9500,4.0,44,False
Famiglia Baldassarre,888.6585807335229,43.67052,-79.4350599,"['122 Geary Avenue', 'Toronto, ON M6H 4H1', 'Canada']",+1 647-293-5395,4.5,74,False
Rush Hour,440.38079151577574,43.67111,-79.44037,"['1438A Dufferin Street', 'Toronto, ON M6H 3L1', 'Canada']",+1 416-533-4687,4.5,48,False
Parallel,631.8823306471566,43.6694450818033,-79.4385803863406,"['217 Geary Avenue', 'Toronto, ON M6H 2C1', 'Canada']",+1 416-516-7765,4.0,106,False
Meta Dos Leitoes,622.2462797683386,43.66984,-79.43848,"['218 Geary Avenue', 'Toronto, ON M6H 2C3', 'Canada']",+1 416-516-8119,4.5,7,False
The Sovereign,506.778964258629,43.67299,-79.44002,"['1359 Davenport Road', 'Toronto, ON M6H 2H5', 'Canada']",+1 647-346-1942,4.5,36,False
CANO Restaurant,920.0498725031512,43.67871,-79.44058,"['1108 St Clair Avenue W', 'Toronto, ON M6E 1A7', 'Canada']",+1 416-901-3655,4.5,73,False
Rio 40 Restaurant,672.1228699501091,43.677457,-79.446485,"['1256 Saint Clair Avenue West', 'Toronto, ON M6E 1B9', 'Canada']",+1 416-654-6363,4.0,63,False
King's Tacos,748.0025230177372,43.67803,-79.4440599,"['1190 St Clair Avenue W', 'Toronto, ON M6E 1B4', 'Canada']",+1 647-342-0262,4.0,81,False
Brasa Peruvian Kitchen,720.4972412148205,43.66551083802348,-79.4496221,"['297 Campbell Avenue', 'Toronto, ON M6P 3V7', 'Canada']",,5.0,8,False
A Ria Restaurante,655.6681648748464,43.676633101229726,-79.44975681602955,"['1370 St Clair Avenue W', 'Toronto, ON M6E 1C4', 'Canada']",+1 416-651-8350,4.0,2,False
Century Park Tavern,299.6021921678177,43.6696641,-79.44877238227583,"['33 Powerhouse Street', 'Toronto, ON M6H 4K7', 'Canada']",+1 416-792-2278,3.5,3,False
Piri Piri Grill,652.0344441807152,43.6662515314375,-79.4497762620449,"['1444 Dupont Street', 'Toronto, ON M6P 4H3', 'Canada']",+1 416-536-5100,3.5,52,False
Don Quixote,607.5270955747128,43.6763235,-79.4494733,"['1331 1/2 St. Clair Avenue W', 'Toronto, ON M6E 1C3', 'Canada']",+1 416-652-7777,4.0,5,False
Kaito Sushi,671.8135789806229,43.67737,-79.44452,"['1211 St Clair Ave W', 'Toronto, ON M6E 1B5', 'Canada']",+1 416-792-6796,3.5,32,False
El Sazón Mexicano,644.4584382403085,43.6770608350774,-79.4477873673694,"['1284 St Clair Avenue W', 'Toronto, ON M6E 1C1', 'Canada']",+64 7 344 0119,4.0,11,False
Defina Wood Fired,711.2083597651887,43.66578,-79.4502399,"['1485 Dupont Street', 'Toronto, ON M6P 3S2', 'Canada']",+1 416-536-4788,3.5,26,False
Itacate,1133.499451999319,43.6793908547042,-79.4371611624956,"['998 St. Clair Avenue W', 'Toronto, ON M6E 1A2', 'Canada']",+1 647-701-0420,4.5,57,False
Jaclyn's,29.257262572899972,43.66627,-79.31802,"['1588 Queen Street E', 'Toronto, ON M4L 1G1', 'Canada']",+1 647-901-8809,4.5,16,False
Lake Inez,726.2105823651318,43.67234,-79.32064,"['1471 Gerrard Street E', 'Toronto, ON M4L 2A1', 'Canada']",,4.5,95,False
Casa Di Giorgios,211.83409499769655,43.6668499,-79.31518,"['1646 Queen St E', 'Toronto, ON M4L 1G3', 'Canada']",+1 416-686-7066,4.0,75,False
Tulia Osteria,553.9020760674997,43.66487,-79.32425,"['1402 Queen Street E', 'Toronto, ON M4L 1C9', 'Canada']",+1 416-461-6400,4.5,2,False
The Burger's Priest,177.64325975172713,43.666699590075,-79.3155846030585,"['1636 Queen Street E', 'Toronto, ON M4L 1G3', 'Canada']",+1 647-346-0617,3.5,508,False
Beach Club,735.5028477283719,43.6632065,-79.3100133,"['1681 Lake Shore Boulevard E', 'Toronto, ON M4L 3W6', 'Canada']",+1 416-694-8844,3.0,19,False
Puerto Bravo,744.6803620851091,43.67203,-79.32231,"['1425 Gerrard Street E', 'Toronto, ON M4L 1Z7', 'Canada']",+1 416-551-3700,4.5,4,False
Burrito Bandidos,98.63227407420021,43.6665611,-79.3164215,"['1614 Queen Street E', 'Toronto, ON M4L 1G4', 'Canada']",+1 416-691-8080,3.5,58,False
Black Pony,732.1834312071888,43.67241,-79.3204,"['1481 Gerrard Street E', 'Toronto, ON M4L 2A3', 'Canada']",+1 416-466-7669,4.5,8,False
Le Conciliabule,956.3312077542579,43.671365,-79.3272249,"['1300 Gerrard Street E', 'Toronto, ON M4L 1Y7', 'Canada']",+1 437-981-1800,4.5,14,False
Betty’s East,884.1493841164757,43.663455,-79.327992,"['1301 Queen Street E', 'Toronto, ON M4L 1C2', 'Canada']",+1 416-901-5575,3.5,6,False
Mazadar,59.92794045459247,43.66649478855605,-79.31704882532358,"['1606 Queen St E', 'Toronto, ON M4L 3A7', 'Canada']",+1 416-463-1111,0.0,0,False
Jules Bistro,915.4353499877894,43.66389,-79.32859,"['1290 Queen St E', 'Toronto, ON M4L 1C4', 'Canada']",+1 416-463-5853,3.5,31,False
O Sushi,78.63482295741966,43.66654,-79.31693,"['6 Coxwell Avenue', 'Toronto, ON M4L 3A7', 'Canada']",+1 416-466-1234,4.0,61,False
The Sidekick,625.5297678614602,43.6645889,-79.3251114,"['1374 Queen Street E', 'Toronto, ON M4L 1C9', 'Canada']",+1 416-546-1301,4.5,31,False
British Style Fish & Chips,269.51772516492844,43.66861,-79.31723,"['73 Coxwell Avenue', 'Toronto, ON M4L 3B1', 'Canada']",+1 416-698-7778,4.0,53,False
Maru Japanese Bistro,554.286078137481,43.664719960216985,-79.32426282771173,"['1402 Queen Street E', 'Toronto, ON M4L 1C7', 'Canada']",+1 416-466-4666,4.0,20,False
Mattachioni,728.4699999778046,43.67264,-79.31973,"['1501 Gerrard St E', 'Toronto, ON M4L 2A4', 'Canada']",+1 416-466-1111,5.0,4,False
Occasions Restaurant,795.2799227847504,43.67338,-79.31823,"['30 Eastwood Road', 'Toronto, ON M4L 2C3', 'Canada']",+1 416-469-3065,4.0,47,False
Maha's,1066.4121359855728,43.67167,-79.32853,"['226 Greenwood Avenue', 'Toronto, ON M4L 2R2', 'Canada']",+1 416-462-2703,4.0,598,False
The Rabbit Hole,426.2887524094813,43.64995,-79.37976,"['21 Adelaide Street W', 'Toronto, ON M5H 1L6', 'Canada']",+1 647-480-6963,4.0,38,False
Richmond Station,292.63892114847755,43.6513729,-79.379285,"['1 Richmond Street W', 'Toronto, ON M5H 3W4', 'Canada']",+1 647-748-1444,4.5,908,False
Mogouyan Hand-Pulled Noodles,681.0174839428291,43.65573,-79.38449,"['124 Dundas St W', 'Toronto, ON M5G 1C3', 'Canada']",,4.5,74,False
Pearl Diver,300.7711618613883,43.65163,-79.37375,"['100 Adelaide Street E', 'Toronto, ON M5C 1K9', 'Canada']",+1 416-366-7827,4.0,632,False
Katsuya,768.4957450459857,43.65995,-79.37882,"['66 Gerrard Street E', 'Unit 100', 'Toronto, ON M5B 2M2', 'Canada']",+1 416-591-7756,4.5,501,False
Cafe Oro Di Napoli,418.2400800533181,43.6514257145518,-79.3721591972351,"['75 Jarvis Street', 'Toronto, ON M5C 2H2', 'Canada']",+1 416-315-7979,4.5,102,False
Amano Trattoria,658.703216318728,43.64783286048877,-79.37335950322061,"['9 Church Street', 'Toronto, ON M5E 1W1', 'Canada']",+1 647-349-7297,4.5,28,False
Haidilao Hot Pot,295.39265490625434,43.65463297669771,-79.37983900308609,"['237 Yonge Street', 'Toronto, ON M5B 1N8', 'Canada']",+1 437-778-1068,5.0,34,False
The Carbon Bar,151.11249545442493,43.653088,-79.374829,"['99 Queen Street East', 'Toronto, ON M5C 1S2', 'Canada']",+1 416-947-7000,4.0,418,False
Beerbistro,420.6646117132331,43.64946713499637,-79.3771696548727,"['18 King Street E', 'Toronto, ON M5C 1C4', 'Canada']",+1 416-861-9872,4.0,682,False
Lucie,413.56586240120566,43.649748,-79.378495,"['100 Yonge Street', 'Toronto, ON M5C 2W1', 'Canada']",+1 416-788-9054,5.0,1,False
Hendriks Restaurant & Bar,269.68300532343875,43.653501,-79.380048,"['218 Yonge Street', 'Toronto, ON M5B 2H6', 'Canada']",+1 416-593-9667,4.0,120,False
The Senator,334.0862515727654,43.65574,-79.37896,"['249 Victoria Street', 'Toronto, ON M5B 1T8', 'Canada']",+1 416-364-7517,4.0,495,False
Carisma,331.2527022749068,43.65032,-79.37596,"['15 Toronto Street', 'Toronto, ON M5C 2EC', 'Canada']",+1 416-864-7373,4.0,201,False
George Restaurant,192.61427926784526,43.65337263523713,-79.37432933100068,"['111 Queen Street E', 'Toronto, ON M5C 1S2', 'Canada']",+1 416-863-6006,4.5,300,False
Bob's Bulgogi,137.58338363742573,43.652139,-79.377507,"['105 Victoria Street', 'Toronto, ON M5C 3B4', 'Canada']",+1 416-546-6515,4.0,90,False
KINKA IZAKAYA ORIGINAL,818.3672641461987,43.66042406856627,-79.37890046282942,"['398 Church Street', 'Toronto, ON M5B 2A2', 'Canada']",+1 416-977-0999,4.0,1818,False
King Taps,651.9579259275845,43.6486379269,-79.3817439,"['100 King Street W', 'Toronto, ON M5X 1A9', 'Canada']",+1 647-361-2025,4.0,406,False
Pai Northern Thai Kitchen,1133.0794884581526,43.64784,-79.38872,"['18 Duncan Street', 'Toronto, ON M5H 3G8', 'Canada']",+1 416-901-4724,4.5,3495,False
Cactus Club Cafe,624.5757406693901,43.64950420768667,-79.38251803088575,"['77 Adelaide Street W', 'Toronto, ON M5H 1P9', 'Canada']",+1 647-748-2025,4.0,610,False
Katsuya,432.97510803376827,43.65995,-79.37882,"['66 Gerrard Street E', 'Unit 100', 'Toronto, ON M5B 2M2', 'Canada']",+1 416-591-7756,4.5,501,False
Horangee Sikdang,393.4154721088926,43.660605,-79.38260199999999,"['431 Yonge Street', 'Toronto, ON M2M 2V3', 'Canada']",,4.5,44,False
KINKA IZAKAYA ORIGINAL,383.3225709992662,43.66042406856627,-79.37890046282942,"['398 Church Street', 'Toronto, ON M5B 2A2', 'Canada']",+1 416-977-0999,4.0,1818,False
Kintaro Izakaya,52.83519430742135,43.66417,-79.38006,"['459 Church Street', 'Main Floor', 'Toronto, ON M4Y 4C5', 'Canada']",+1 647-560-5335,4.0,246,False
Afuri,129.9860206884316,43.66272786420948,-79.37943784310166,"['411 Church Street', 'Toronto, ON M4Y 2C2', 'Canada']",+1 416-928-6566,4.0,28,False
Gurume Sushi,265.3156090875458,43.6613914599157,-79.38099526635763,"['45 Carlton Street', 'unit 5', 'Toronto, ON M5B 2H9', 'Canada']",+1 416-901-8333,5.0,56,False
Lao Lao Bar,489.11688244948164,43.665799,-79.385537,"['5 Saint Joseph Street', 'Retail 5', 'Toronto, ON M4Y 1Z3', 'Canada']",+1 647-948-8018,4.5,49,False
Si Lom Thai Bistro,150.84693891511927,43.66503,-79.38082,"['534 Church Street', 'Toronto, ON M4Y', 'Canada']",+1 416-515-0888,4.0,200,False
Hair of the Dog,102.74360938293962,43.662946823805,-79.379592870241,"['425 Church Street', 'Toronto, ON M4Y 2C3', 'Canada']",+1 416-964-2708,4.0,370,False
Som Tum Jinda,425.9214399624397,43.660198506845894,-79.37821129999999,"['76 Gerrard Street E', 'Toronto, ON M5B 1G6', 'Canada']",+1 416-351-7576,4.0,13,False
Storm Crow Manor,353.79213063846925,43.6667489584503,-79.3816431239247,"['580 Church Street', 'Toronto, ON M4Y 2E5', 'Canada']",+1 416-367-2769,4.0,149,False
Pocha 1989,176.3187908530637,43.66531,-79.38099,"['542 Church Street', 'Toronto, ON M4Y 2E1', 'Canada']",+1 647-455-1994,3.5,21,False
Mogouyan Hand-Pulled Noodles,954.1351089118326,43.65573,-79.38449,"['124 Dundas St W', 'Toronto, ON M5G 1C3', 'Canada']",,4.5,74,False
Sinjeon Topokki,309.7401158352471,43.66115,-79.37869,"['377 Church Street', 'Unit 1', 'Toronto, ON M5B 1H9', 'Canada']",+1 416-591-0676,4.5,8,False
Loaded Pierogi,113.17541235612012,43.6647044094439,-79.3806558570915,"['524 Church Street', 'Toronto, ON M4Y 1C5', 'Canada']",+1 416-792-1476,4.0,29,False
Sanuki Udon,257.4529509068932,43.66162,-79.38153,"['20 Carlton Street', 'Toronto, ON M5B 2H5', 'Canada']",,4.0,26,False
Jane Deer,312.10541399299547,43.66354580554179,-79.38416037708521,"['516 Yonge Street', 'Toronto, ON M4Y 1X9', 'Canada']",,4.5,2,False
Egg Club Wellesley,305.4720539573997,43.6642,-79.38389,"['531 Yonge Street', 'Toronto, ON M4Y 1Y5', 'Canada']",+1 416-901-0188,4.5,39,False
Mabu Generation,395.9857807069012,43.6650956222266,-79.3848299235106,"['575 Yonge Street', 'Toronto, ON M4Y 1Z3', 'Canada']",+1 416-901-8183,4.0,59,False
Koyoi Restaurant & Bar,530.7224978072376,43.6666786252858,-79.3854676187038,"['2 Irwin Avenue', 'Toronto, ON M4Y 1K9', 'Canada']",+1 647-351-5128,4.0,135,False
Mogouyan Hand-Pulled Noodles,442.32646035496845,43.65573,-79.38449,"['124 Dundas St W', 'Toronto, ON M5G 1C3', 'Canada']",,4.5,74,False
Yuugi Izakaya,436.7510327540966,43.65574,-79.39382,"['49 Baldwin Street', 'Toronto, ON M5T 1L3', 'Canada']",+1 647-343-8282,4.5,83,False
Gyubee Japanese Grill - Dundas,393.4109960373616,43.6551427,-79.3857634,"['157 Dundas St W', 'Toronto, ON M5B 1E4', 'Canada']",+1 416-639-1545,4.5,210,False
Dzo Viet Eatery,425.67483765846924,43.65445,-79.39178,"['308 Dundas Street W', 'Toronto, ON M5T 1G4', 'Canada']",+1 647-346-8843,4.0,158,False
Katsuya,871.0071250497726,43.65995,-79.37882,"['66 Gerrard Street E', 'Unit 100', 'Toronto, ON M5B 2M2', 'Canada']",+1 416-591-7756,4.5,501,False
Horangee Sikdang,615.3108818145923,43.660605,-79.38260199999999,"['431 Yonge Street', 'Toronto, ON M2M 2V3', 'Canada']",,4.5,44,False
Hana Don,432.75366835790976,43.65572,-79.38454,"['128 Dundas Street W', 'Toronto, ON M5G 1C3', 'Canada']",+1 416-348-8688,4.5,22,False
The Queen And Beaver Public House,473.2283897255041,43.65734,-79.38334,"['35 Elm Street', 'Toronto, ON M5G 1H1', 'Canada']",+1 647-347-2712,4.0,413,False
Soya Mandarin Kitchen,393.32280445325625,43.65588,-79.39329,"['31 Baldwin Street', 'Toronto, ON M5T 1L1', 'Canada']",+1 416-977-3773,4.0,38,False
Manpuku Japanese Eatery,476.09997763424656,43.65406,-79.39101,"['105 McCaul Street', 'Unit 29-31', 'Toronto, ON M5T 2X4', 'Canada']",+1 416-979-6763,4.0,518,False
Omai Restaurant,319.25735370120736,43.6561,-79.39234,"['3 Baldwin Street', 'Toronto, ON M5T 1L1', 'Canada']",+1 647-341-7766,4.0,126,False
Dear Saigon,433.9528762399971,43.658733136900146,-79.39439,"['185 College Street', 'Toronto, ON M5T 1P7', 'Canada']",+1 647-368-7551,4.0,21,False
KINKA IZAKAYA ORIGINAL,877.1467901560992,43.66042406856627,-79.37890046282942,"['398 Church Street', 'Toronto, ON M5B 2A2', 'Canada']",+1 416-977-0999,4.0,1818,False
Holy Cow Japanese Steakhouse,876.7258423564377,43.64993,-79.39145,"['254 Queen Street  W', 'Toronto, ON M5V 1Z8', 'Canada']",+1 416-792-8269,4.0,161,False
Lao Lao Bar,932.2753833071444,43.665799,-79.385537,"['5 Saint Joseph Street', 'Retail 5', 'Toronto, ON M4Y 1Z3', 'Canada']",+1 647-948-8018,4.5,49,False
The Rabbit Hole,1148.6178508976475,43.64995,-79.37976,"['21 Adelaide Street W', 'Toronto, ON M5H 1L6', 'Canada']",+1 647-480-6963,4.0,38,False
Congee Queen,580.6265471371937,43.658302,-79.381986,"['360 Yonge Street', 'Toronto, ON M5B 1S5', 'Canada']",+1 416-200-6988,4.0,51,False
Moon Palace,571.2114796822435,43.6561951,-79.38240341165705,"['40 Dundas Street W', 'Toronto, ON M5G 2C2', 'Canada']",+1 416-551-5666,4.0,62,False
Richmond Station,1066.148496019152,43.6513729,-79.379285,"['1 Richmond Street W', 'Toronto, ON M5H 3W4', 'Canada']",+1 647-748-1444,4.5,908,False
Wah Too Seafood Restaurant,370.26111896031637,43.6547399,-79.3872,"['58 Centre Avenue', 'Toronto, ON M5G 1R5', 'Canada']",+1 416-971-6567,4.0,34,False
Mogouyan Hand-Pulled Noodles,180.9763467434198,43.65573,-79.38449,"['124 Dundas St W', 'Toronto, ON M5G 1C3', 'Canada']",,4.5,74,False
The Queen And Beaver Public House,82.12766739073525,43.65734,-79.38334,"['35 Elm Street', 'Toronto, ON M5G 1H1', 'Canada']",+1 647-347-2712,4.0,413,False
Katsuya,481.8277558790343,43.65995,-79.37882,"['66 Gerrard Street E', 'Unit 100', 'Toronto, ON M5B 2M2', 'Canada']",+1 416-591-7756,4.5,501,False
The Rabbit Hole,782.5187075044352,43.64995,-79.37976,"['21 Adelaide Street W', 'Toronto, ON M5H 1L6', 'Canada']",+1 647-480-6963,4.0,38,False
Horangee Sikdang,431.1258446275561,43.660605,-79.38260199999999,"['431 Yonge Street', 'Toronto, ON M2M 2V3', 'Canada']",,4.5,44,False
Gyubee Japanese Grill - Dundas,301.85317179582466,43.6551427,-79.3857634,"['157 Dundas St W', 'Toronto, ON M5B 1E4', 'Canada']",+1 416-639-1545,4.5,210,False
Moon Palace,65.11778744692941,43.6561951,-79.38240341165705,"['40 Dundas Street W', 'Toronto, ON M5G 2C2', 'Canada']",+1 416-551-5666,4.0,62,False
Richmond Station,657.1055129257962,43.6513729,-79.379285,"['1 Richmond Street W', 'Toronto, ON M5H 3W4', 'Canada']",+1 647-748-1444,4.5,908,False
Hana Don,184.95680378356542,43.65572,-79.38454,"['128 Dundas Street W', 'Toronto, ON M5G 1C3', 'Canada']",+1 416-348-8688,4.5,22,False
KINKA IZAKAYA ORIGINAL,513.829541801903,43.66042406856627,-79.37890046282942,"['398 Church Street', 'Toronto, ON M5B 2A2', 'Canada']",+1 416-977-0999,4.0,1818,False
Haidilao Hot Pot,329.6030539726629,43.65463297669771,-79.37983900308609,"['237 Yonge Street', 'Toronto, ON M5B 1N8', 'Canada']",+1 437-778-1068,5.0,34,False
Congee Queen,185.02340775028702,43.658302,-79.381986,"['360 Yonge Street', 'Toronto, ON M5B 1S5', 'Canada']",+1 416-200-6988,4.0,51,False
The Senator,320.2991263055549,43.65574,-79.37896,"['249 Victoria Street', 'Toronto, ON M5B 1T8', 'Canada']",+1 416-364-7517,4.0,495,False
Donatello Restaurant,97.54129104066764,43.657425,-79.383474,"['37 Elm Street', 'Toronto, ON M5G 1H1', 'Canada']",+1 416-595-5001,4.0,187,False
Gurume Sushi,537.0202559760468,43.6613914599157,-79.38099526635763,"['45 Carlton Street', 'unit 5', 'Toronto, ON M5B 2H9', 'Canada']",+1 416-901-8333,5.0,56,False
Som Tum Jinda,530.4017168473649,43.660198506845894,-79.37821129999999,"['76 Gerrard Street E', 'Toronto, ON M5B 1G6', 'Canada']",+1 416-351-7576,4.0,13,False
Barberian's Steak House,108.22636118787635,43.6576,-79.38212,"['7 Elm Street', 'Toronto, ON M5G 1H1', 'Canada']",+1 416-597-0335,4.0,319,False
Pai Northern Thai Kitchen,1095.5910142176267,43.64784,-79.38872,"['18 Duncan Street', 'Toronto, ON M5H 3G8', 'Canada']",+1 416-901-4724,4.5,3495,False
bb.q Chicken,105.20988336225098,43.65728792282371,-79.38379123806953,"['43 Elm St', 'Toronto, ON M5G 1H1', 'Canada']",+1 416-581-8008,4.0,19,False
Daldongnae Korean BBQ - Dundas Square,192.56127543189783,43.658244,-79.381345,"['361 Yonge Street', 'Toronto, ON M5B 1S1', 'Canada']",+1 647-368-8470,4.5,12,False
Jin Dal Lae,45.70845779352447,43.664166,-79.41517,"['647 Bloor Street W', 'Toronto, ON M6G 1L1', 'Canada']",+1 416-530-6974,4.5,115,False
Yummy Korean Food Restaurant,62.04971461550738,43.66469,-79.4140199,"['620 Bloor Street W', 'Toronto, ON M6G 1K7', 'Canada']",+1 647-345-6588,4.0,276,False
Daldongnae Korean BBQ - Christie,75.1081485757723,43.66434,-79.41566,"['658 Bloor Street', 'Toronto, ON M6G 1K9', 'Canada']",+1 416-901-2820,4.5,92,False
Paldo Gangsan,224.87889726449862,43.664,-79.41743,"['694 Bloor Street  W', 'Toronto, ON M6G 1L4', 'Canada']",+1 416-536-7517,4.5,85,False
Korean Village Restaurant,28.68956624967066,43.66461,-79.41444,"['628 Bloor Street W', 'Toronto, ON M6G 1K7', 'Canada']",+1 416-536-0290,4.0,430,False
Mapo Pocha Soju Bar,165.9159065096131,43.6640448,-79.41676136022515,"['680 Bloor Street W', 'Toronto, ON M6G 1L2', 'Canada']",+1 416-901-0678,5.0,3,False
MaMa Chef Korean Restaurant,47.32785107871025,43.66444,-79.41534,"['648 Bloor Street W', 'Toronto, ON M6G 1K9', 'Canada']",+1 416-516-8383,4.0,69,False
Sunrise House,82.31401014583372,43.66401,-79.41561,"['661 Bloor Street W', 'Toronto, ON M6G 1L1', 'Canada']",+1 416-535-1019,4.0,215,False
Insomnia Restaurant & Lounge,346.4745854459776,43.665961,-79.411003,"['563 Bloor Street W', 'Toronto, ON M5S 1Y6', 'Canada']",+1 416-588-3907,4.0,1018,False
Buk Chang Dong Soon Tofu,202.1350880505349,43.66363,-79.4169299,"['691 Bloor Street W', 'Toronto, ON M6G 1L3', 'Canada']",+1 416-537-0972,4.0,486,False
Rasa,890.0388310101379,43.6627752,-79.4039682,"['196 Robert Street', 'Toronto, ON M5S 2K8', 'Canada']",+1 647-350-8221,4.5,329,False
Mapo Korean BBQ,246.8805479598583,43.6639096,-79.4177539,"['708 Bloor Street W', 'Toronto, ON M6G 1L4', 'Canada']",+1 647-797-7708,4.0,70,False
Jjin Toast,286.70293545700014,43.665326757342655,-79.41142268478869,"['792 Bathurst Street', 'Toronto, ON M5R 3G1', 'Canada']",,5.0,23,False
Her Chef,147.54824326655626,43.66457,-79.41292,"['599 Bloor Street W', 'Toronto, ON M6G 1K5', 'Canada']",+1 647-830-7719,4.5,63,False
Chantecler,627.0868857465326,43.66288005104202,-79.4222638,"['798 Bloor Street W', 'Toronto, ON M6G 1L9', 'Canada']",+1 416-628-3586,5.0,1,False
El Pocho Antojitos Bar,585.5763100589309,43.66963,-79.41338,"['2 Follis Avenue', 'Toronto, ON M6G 1S3', 'Canada']",+1 416-551-8131,4.5,84,False
Barrio Coreano,28.268819739053892,43.664411943278395,-79.41512609658861,"['642 Bloor Street W', 'Toronto, ON M6G 1K9', 'Canada']",+1 416-901-5188,3.5,248,False
Hancook Cheese Dakgalbi,133.92031265532722,43.66457,-79.41304,"['605 Bloor Street W', 'Toronto, ON M6G 1K6', 'Canada']",+1 416-516-1222,4.0,84,False
Tacos El Asador,189.56530375772482,43.6636499,-79.41686,"['689 Bloor Street W', 'Toronto, ON M6G 1L2', 'Canada']",+1 416-538-9747,4.0,323,False
Kintori Yakitori Izakaya,129.9813239724705,43.66419,-79.41632,"['668 Bloor Street W', '2nd Floor', 'Toronto, ON M6G 1L2', 'Canada']",+1 647-350-0668,3.5,55,False
Mineral,243.74550419839568,43.67763,-79.38947,"['1027 Yonge Street', 'Toronto, ON M4W 2K9', 'Canada']",+1 416-925-8565,4.5,26,False
Trattoria Nervosa,527.701472357161,43.67101,-79.39104,"['75 Yorkville Avenue', 'Toronto, ON M5R 1B8', 'Canada']",+1 416-961-4642,4.0,411,False
The Oxley,643.5698370095942,43.67059,-79.39304,"['121 Yorkville Avenue', 'Toronto, ON M5R 1C4', 'Canada']",+1 647-348-1300,4.0,184,False
Buca Yorkville,370.5835065034395,43.67214,-79.3894,"['53 Scollard Street', 'Toronto, ON M5R 0A1', 'Canada']",+1 416-962-2822,4.0,207,False
